ticker,name,status,category,themes
DOV,Dover,WATCH,Industrial components,POWER-GRID
WM,Waste Management,WATCH,Waste and recycling,RECYCLING
RSG,Republic Services,WATCH,Waste and recycling,RECYCLING
WCN,Waste Connections,WATCH,Waste and recycling,RECYCLING
CLH,Clean Harbors,WATCH,Hazardous waste,RECYCLING
CWST,Casella Waste Systems,WATCH,Waste and recycling,RECYCLING
GFL,GFL Environmental,WATCH,Waste and recycling,RECYCLING
SRCL,Stericycle,SPEC,Medical waste,RECYCLING
DAR,Darling Ingredients,SPEC,Rendering and biofuels,RECYCLING|BIOFUELS
AMRC,Ameresco,SPEC,Energy efficiency,RECYCLING|POWER-GRID
ORA,Ormat Technologies,WATCH,Geothermal,DATA-POWER
FCX,Freeport-McMoRan,WATCH,Copper,COPPER|POWER-GRID
SCCO,Southern Copper,WATCH,Copper,COPPER|POWER-GRID
TECK,Teck Resources,WATCH,Copper and metals,COPPER|CRITICAL-MINERALS
RIO,Rio Tinto,WATCH,Diversified mining,CRITICAL-MINERALS
BHP,BHP,WATCH,Diversified mining,CRITICAL-MINERALS
VALE,Vale,SPEC,Iron ore and nickel,CRITICAL-MINERALS
AA,Alcoa,SPEC,Aluminum,CRITICAL-MINERALS|DISTRESSED-REBOUND
CENX,Century Aluminum,SPEC,Aluminum,CRITICAL-MINERALS|DISTRESSED-REBOUND
NUE,Nucor,WATCH,Steel,INDUSTRIALS
STLD,Steel Dynamics,WATCH,Steel,INDUSTRIALS
CLF,Cleveland-Cliffs,SPEC,Steel,DISTRESSED-REBOUND|INDUSTRIALS
X,United States Steel,SPEC,Steel,INDUSTRIALS
NEM,Newmont,WATCH,Gold,GOLD
GOLD,Barrick Gold,WATCH,Gold,GOLD
AEM,Agnico Eagle Mines,WATCH,Gold,GOLD
PAAS,Pan American Silver,SPEC,Silver,GOLD
HL,Hecla Mining,SPEC,Silver,GOLD|DISTRESSED-REBOUND
MSFT,Microsoft,CORE,AI cloud,AI-SOFTWARE|AI-INFRA
GOOGL,Alphabet,CORE,AI cloud,AI-SOFTWARE|AI-INFRA
AMZN,Amazon,CORE,AI cloud,AI-SOFTWARE|AI-INFRA
META,Meta Platforms,CORE,AI platform,AI-SOFTWARE|AI-INFRA
ORCL,Oracle,WATCH,AI cloud,AI-SOFTWARE|AI-INFRA
CRM,Salesforce,WATCH,Enterprise software,AI-SOFTWARE
NOW,ServiceNow,WATCH,Enterprise software,AI-SOFTWARE
PLTR,Palantir,SPEC,AI software,AI-SOFTWARE
SNOW,Snowflake,SPEC,Data cloud,AI-SOFTWARE|DISTRESSED-REBOUND
DDOG,Datadog,WATCH,Observability,AI-SOFTWARE
MDB,MongoDB,SPEC,Database software,AI-SOFTWARE
NET,Cloudflare,SPEC,Edge cloud,AI-SOFTWARE|AI-INFRA
CRWD,CrowdStrike,WATCH,Cybersecurity,AI-SOFTWARE
PANW,Palo Alto Networks,WATCH,Cybersecurity,AI-SOFTWARE
ZS,Zscaler,SPEC,Cybersecurity,AI-SOFTWARE
OKTA,Okta,SPEC,Identity software,AI-SOFTWARE|DISTRESSED-REBOUND
ESTC,Elastic,SPEC,Search and observability,AI-SOFTWARE
AI,C3.ai,SPEC,AI software,AI-SOFTWARE|DISTRESSED-REBOUND
PATH,UiPath,SPEC,Automation software,AI-SOFTWARE|DISTRESSED-REBOUND
SOUN,SoundHound AI,SPEC,Voice AI,AI-SOFTWARE
IOT,Samsara,WATCH,Industrial IoT,AI-SOFTWARE
U,Unity Software,DISTRESSED,Realtime 3D software,DISTRESSED-REBOUND|AI-SOFTWARE
RBLX,Roblox,SPEC,Consumer platform,AI-SOFTWARE
ROKU,Roku,DISTRESSED,Streaming platform,DISTRESSED-REBOUND
ZM,Zoom Communications,DISTRESSED,Fallen growth software,DISTRESSED-REBOUND|AI-SOFTWARE
DOCS,Doximity,DISTRESSED,Healthcare software,DISTRESSED-REBOUND
TTD,The Trade Desk,DISTRESSED,Adtech,DISTRESSED-REBOUND|AI-SOFTWARE
PYPL,PayPal,DISTRESSED,Payments,DISTRESSED-REBOUND|FINTECH
SQ,Block,DISTRESSED,Payments,DISTRESSED-REBOUND|FINTECH
AFRM,Affirm,SPEC,Consumer finance,DISTRESSED-REBOUND|FINTECH
UPST,Upstart,DISTRESSED,AI lending,DISTRESSED-REBOUND|FINTECH|AI-SOFTWARE
SOFI,SoFi Technologies,SPEC,Fintech,FINTECH|DISTRESSED-REBOUND
HOOD,Robinhood,SPEC,Brokerage and crypto,FINTECH|CRYPTO
COIN,Coinbase,SPEC,Crypto infrastructure,CRYPTO
MSTR,MicroStrategy,SPEC,Bitcoin proxy,CRYPTO
MARA,MARA Holdings,SPEC,Bitcoin mining,CRYPTO
RIOT,Riot Platforms,SPEC,Bitcoin mining,CRYPTO
CLSK,CleanSpark,SPEC,Bitcoin mining,CRYPTO|DATA-POWER
IREN,IREN,SPEC,Bitcoin mining and AI data centers,CRYPTO|DATA-POWER|AI-INFRA
CIFR,Cipher Mining,SPEC,Bitcoin mining and power,CRYPTO|DATA-POWER
HUT,Hut 8,SPEC,Bitcoin mining and power,CRYPTO|DATA-POWER
ROOT,Root,SPEC,Insurance tech,DISTRESSED-REBOUND|FINTECH
LMND,Lemonade,DISTRESSED,Insurance tech,DISTRESSED-REBOUND|FINTECH
OPEN,Opendoor,DISTRESSED,Housing tech,DISTRESSED-REBOUND
RDFN,Redfin,DISTRESSED,Housing tech,DISTRESSED-REBOUND
PTON,Peloton,DISTRESSED,Consumer turnaround,DISTRESSED-REBOUND
BYND,Beyond Meat,DISTRESSED,Consumer turnaround,DISTRESSED-REBOUND
RIVN,Rivian,DISTRESSED,EV manufacturer,DISTRESSED-REBOUND|EV
LCID,Lucid,DISTRESSED,EV manufacturer,DISTRESSED-REBOUND|EV
NIO,NIO,DISTRESSED,EV manufacturer,DISTRESSED-REBOUND|EV
XPEV,XPeng,SPEC,EV manufacturer,DISTRESSED-REBOUND|EV
LI,Li Auto,WATCH,EV manufacturer,EV
TSLA,Tesla,SPEC,EV and AI,EV|AI-SOFTWARE
JOBY,Joby Aviation,SPEC,eVTOL,DISTRESSED-REBOUND|AEROSPACE
ACHR,Archer Aviation,SPEC,eVTOL,DISTRESSED-REBOUND|AEROSPACE
RKLB,Rocket Lab,SPEC,Space,DISTRESSED-REBOUND|AEROSPACE
ASTS,AST SpaceMobile,SPEC,Space telecom,DISTRESSED-REBOUND|AEROSPACE
LUNR,Intuitive Machines,SPEC,Space,DISTRESSED-REBOUND|AEROSPACE
SPCE,Virgin Galactic,DISTRESSED,Space tourism,DISTRESSED-REBOUND|AEROSPACE
LMT,Lockheed Martin,WATCH,Defense,DEFENSE
NOC,Northrop Grumman,WATCH,Defense,DEFENSE
RTX,RTX,WATCH,Defense,DEFENSE
GD,General Dynamics,WATCH,Defense,DEFENSE
HWM,Howmet Aerospace,WATCH,Aerospace components,DEFENSE|AEROSPACE
TDG,TransDigm,WATCH,Aerospace components,AEROSPACE
HEI,HEICO,WATCH,Aerospace components,AEROSPACE
AXON,Axon Enterprise,WATCH,Public safety tech,DEFENSE|AI-SOFTWARE
KTOS,Kratos Defense,SPEC,Defense drones,DEFENSE|AEROSPACE
AVAV,AeroVironment,SPEC,Drones,DEFENSE|AEROSPACE
ISRG,Intuitive Surgical,WATCH,Robotic surgery,HEALTHCARE-INNOVATION
DXCM,DexCom,WATCH,Medical devices,HEALTHCARE-INNOVATION
TMDX,TransMedics,SPEC,Medical devices,HEALTHCARE-INNOVATION
ILMN,Illumina,DISTRESSED,Genomics,DISTRESSED-REBOUND|HEALTHCARE-INNOVATION
GH,Guardant Health,DISTRESSED,Diagnostics,DISTRESSED-REBOUND|HEALTHCARE-INNOVATION
VRTX,Vertex Pharmaceuticals,WATCH,Biotech quality,HEALTHCARE-INNOVATION
REGN,Regeneron,WATCH,Biotech quality,HEALTHCARE-INNOVATION
MRNA,Moderna,DISTRESSED,Biotech platform,DISTRESSED-REBOUND|HEALTHCARE-INNOVATION
BNTX,BioNTech,DISTRESSED,Biotech platform,DISTRESSED-REBOUND|HEALTHCARE-INNOVATION
CRSP,CRISPR Therapeutics,SPEC,Gene editing,HEALTHCARE-INNOVATION
NTLA,Intellia Therapeutics,SPEC,Gene editing,HEALTHCARE-INNOVATION
BEAM,Beam Therapeutics,SPEC,Gene editing,HEALTHCARE-INNOVATION
EDIT,Editas Medicine,DISTRESSED,Gene editing,DISTRESSED-REBOUND|HEALTHCARE-INNOVATION
RXRX,Recursion Pharmaceuticals,SPEC,AI drug discovery,AI-SOFTWARE|HEALTHCARE-INNOVATION
SDGR,Schrodinger,SPEC,AI drug discovery,AI-SOFTWARE|HEALTHCARE-INNOVATION
DNA,Ginkgo Bioworks,DISTRESSED,Synthetic biology,DISTRESSED-REBOUND|HEALTHCARE-INNOVATION
IONS,Ionis Pharmaceuticals,SPEC,RNA therapeutics,HEALTHCARE-INNOVATION
ARWR,Arrowhead Pharmaceuticals,SPEC,RNA therapeutics,HEALTHCARE-INNOVATION
